cpse_a,code_a,description_a,cpse_b,code_b,description_b,semantic_score,attribute_score,final_score,classification
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.2114,0.0,0.0845,DIFFERENT
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,0.1969,0.0,0.0788,DIFFERENT
SAIL,SAIL-3103,BALL VALVE 50MM FLANGED SS316 150 PSI,ONGC,ONGC-1004,BEARING 6205 ZZ,0.1944,0.0,0.0778,DIFFERENT
BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.1763,0.0,0.0705,DIFFERENT
ONGC,ONGC-1003,SS316 FLANGED BALL VALVE 2 INCH 150 PSI,SAIL,SAIL-3104,BEARING 6205 2Z,0.1754,0.0,0.0702,DIFFERENT
BHEL,BHEL-2203,2 IN FLG BALL VALVE SS316 150 PSI,ONGC,ONGC-1004,BEARING 6205 ZZ,0.1715,0.0,0.0686,DIFFERENT
ONGC,ONGC-1004,BEARING 6205 ZZ,SAIL,SAIL-3105,STAINLESS STEEL 304 PIPE 50MM 3MM THICK,0.1626,0.0,0.0651,DIFFERENT
NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,SAIL,SAIL-3104,BEARING 6205 2Z,0.1603,0.0,0.0641,DIFFERENT
NTPC,NTPC-4404,DEEP GROOVE BEARING 6206 ZZ,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.1554,0.0,0.0622,DIFFERENT
SAIL,SAIL-3104,BEARING 6205 2Z,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.1538,0.0,0.0615,DIFFERENT
ONGC,ONGC-1004,BEARING 6205 ZZ,BHEL,BHEL-2205,SS 304 SEAMLESS PIPE OD 50 MM WT 3 MM,0.1526,0.0,0.0611,DIFFERENT
BHEL,BHEL-2204,6205-ZZ DEEP GROOVE BALL BEARING,ONGC,ONGC-1005,SEAMLESS PIPE SS304 50MM X 3MM,0.1379,0.0,0.0551,DIFFERENT
NTPC,NTPC-4403,SS304 FLANGED BALL VALVE 2 INCH 150 PSI,ONGC,ONGC-1004,BEARING 6205 ZZ,0.134,0.0,0.0536,DIFFERENT
SAIL,SAIL-3104,BEARING 6205 2Z,NTPC,NTPC-4405,SEAMLESS SS316 PIPE 50 MM X 3 MM,0.1222,0.0,0.0489,DIFFERENT
